,loan_id,gender,disbursemet_date,currency,country,sex,is_employed,job,location,loan_amount,number_of_defaults,outstanding_balance,interest_rate,age,number_of_defaults,remaining term,salary,marital_status,age,Loan Status
0,8d05de78-ff32-46b1-aeb5-b3190f9c158a,female,2022 10 29,USD,Zimbabwe,female,TRUE,Teacher,Beitbridge,39000,0,48653.01147,0.22,37,0,47,3230.038869,married,37,Did not default
1,368bf756-fcf2-4822-9612-f445d90b485b,other,2020 06 06,USD,Zimbabwe,other,TRUE,Teacher,Harare,27000,2,28752.06224,0.2,43,2,62,3194.139103,single,43,Did not default
2,6e3be39e-49b5-45b5-aab6-c6556de53c6f,other,2023 09 29,USD,Zimbabwe,other,TRUE,Nurse,Gweru,35000,1,44797.55413,0.22,43,1,57,3330.826656,married,43,Did not default
3,191c62f8-2211-49fe-ba91-43556b307871,female,2022 06 22,USD,Zimbabwe,female,TRUE,Doctor,Rusape,24000,0,35681.49641,0.23,47,0,42,2246.79702,divorced,47,Did not default
4,477cd8a1-3b01-4623-9318-8cd6122a8346,male,2023 02 08,USD,Zimbabwe,male,TRUE,Nurse,Chipinge,19000,0,34156.05588,0.2,42,0,45,2310.858441,married,42,Did not default
5,3595fbe4-397c-42b1-aeb2-f85a6cdf4ee3,other,2020 11 15,USD,Zimbabwe,other,TRUE,Data Analyst,Chimanimani,29000,0,37778.07518,0.21,46,0,44,2633.653709,single,46,Did not default
6,a6255398-b8c6-494c-b7ff-3d7fee6703d5,male,2023 11 09,USD,Zimbabwe,male,TRUE,Teacher,Harare,24000,0,28675.96845,0.22,47,0,52,2554.371003,single,47,Did not default
7,b259ce87-a771-46ee-9785-b0a9f5dab2d6,female,2021 03 18,USD,Zimbabwe,female,TRUE,Data Analyst,Marondera,38000,1,38406.93371,0.22,39,1,46,2847.991485,married,39,Did not default
8,5f7444d0-76c9-4902-8a97-a1d134101100,other,2020 04 04,USD,Zimbabwe,other,TRUE,Nurse,Kadoma,23000,0,28015.5438,0.22,46,0,47,2521.387875,married,46,Did not default
9,12fb64f7-8101-4868-a2fe-83178bbaebce,male,2020 12 03,USD,Zimbabwe,male,TRUE,Nurse,Marondera,50000,1,61800.46764,0.24,37,1,43,2799.43757,divorced,37,Did not default
10,507e6717-c462-480e-ae23-921950e15fce,female,2020 03 07,USD,Zimbabwe,female,TRUE,Nurse,Marondera,43000,0,49241.35214,0.24,42,0,50,3018.505824,divorced,42,Did not default
11,0a385b4c-5bbf-4a5c-bf7f-86f00c443317,male,2022 02 11,USD,Zimbabwe,male,TRUE,Nurse,Mutare,31000,2,32298.82021,0.22,48,2,68,3100.56766,married,48,Did not default
12,3f1be87e-3f46-4eb2-ba31-c063c4f84eb9,other,2023 12 17,USD,Zimbabwe,other,TRUE,Software Developer,Gweru,40000,1,45041.41674,0.22,46,1,49,2724.932302,married,46,Did not default
13,64325d0f-c840-44d1-ab60-d3900e300855,other,2020 05 18,USD,Zimbabwe,other,TRUE,Doctor,Harare,21000,0,27148.85667,0.2,39,0,54,2597.865961,divorced,39,Did not default
14,ff566ef0-3d9c-4753-88fe-88d0345597f8,other,2020 08 11,USD,Zimbabwe,other,TRUE,Doctor,Gweru,4000,0,25240.62571,0.2,35,0,58,2047.171839,divorced,35,Did not default
15,10f31a17-8f23-4a33-91e0-902842e07cd8,other,2020 02 03,USD,Zimbabwe,other,TRUE,Accountant,Rusape,44000,0,37769.42406,0.23,39,0,30,1816.773195,divorced,39,Did not default
